station,lat,lon
Paya Lebar,1.3524,103.9007
Tengah,1.3858,103.7114
Changi,1.3678,103.9826
Seletar,1.4166,103.8654
Tai Seng,1.3399,103.8878
Jurong (West),1.3455,103.6806
Ang Mo Kio,1.3764,103.8492
Clementi,1.3337,103.7768
Admiralty,1.4439,103.7854
Sentosa Island,1.25,103.8279
Sembawang,1.4252,103.8202
Boon Lay (East),1.3302,103.7205
Semakau Island,1.189,103.768
Pulau Ubin,1.4168,103.9673
East Coast Parkway,1.3134,103.9619
Marina Barrage,1.2799,103.8703
Newton,1.3106,103.8365
Tuas South,1.2938,103.6184
Pasir Panjang,1.281,103.754
Jurong Island,1.2542,103.6741
Choa Chu Kang (South),1.3729,103.7224
Khatib,1.4173,103.8249
